Gene,1,2,3,4,5,6,7,8,9,10,11,12
group_1381,0.035398230088495575,0.0,0.0,0.18461538461538463,0.0,0.0,0.0,0.7272727272727273,1.0,0.9885057471264368,1.0,0.7543859649122807
gmuR~~~yurK~~~gamR,0.0,0.0,0.0,0.0,0.36666666666666664,0.09523809523809523,0.0,0.8181818181818182,1.0,0.9655172413793104,0.0,0.6666666666666666
group_2363,0.07079646017699115,0.0,0.0,0.007692307692307693,0.0,0.09523809523809523,1.0,1.0,0.92,1.0,0.0,0.6666666666666666
group_2464,0.017699115044247787,1.0,1.0,0.1076923076923077,0.85,0.5714285714285714,0.0,0.9090909090909091,0.21,0.8850574712643678,0.0,0.8333333333333334
group_22,0.11504424778761062,0.5,1.0,0.4230769230769231,0.475,0.42857142857142855,1.0,0.7272727272727273,0.94,0.41954022988505746,0.0,0.5877192982456141
entS,0.017699115044247787,1.0,1.0,0.7,0.9583333333333334,0.0,1.0,0.9090909090909091,0.82,0.5114942528735632,0.0,0.0
group_1085,0.017699115044247787,1.0,1.0,0.7,0.9583333333333334,0.0,1.0,0.9090909090909091,0.82,0.4885057471264368,0.0,0.0
group_1137,0.017699115044247787,1.0,1.0,0.7,0.9583333333333334,0.0,1.0,0.9090909090909091,0.82,0.47701149425287354,0.0,0.0
group_589,0.9823008849557522,0.5,1.0,0.6615384615384615,0.38333333333333336,0.0,1.0,0.0,0.0,0.08045977011494253,0.0,0.9912280701754386
cinA_1,0.4778761061946903,0.5,1.0,0.6,0.725,0.38095238095238093,1.0,0.18181818181818182,0.07,0.5114942528735632,1.0,0.6052631578947368
btuD_5~~~btuD_6~~~btuD_9~~~btuD_7,0.9911504424778761,1.0,1.0,0.9923076923076923,0.55,0.38095238095238093,1.0,0.0,0.02,0.0,1.0,0.4649122807017544
group_2336,1.0,1.0,1.0,0.9692307692307692,0.6333333333333333,0.9047619047619048,1.0,0.18181818181818182,0.0,0.034482758620689655,1.0,0.3333333333333333
group_3314,0.9911504424778761,1.0,1.0,0.7923076923076923,0.9166666666666666,0.0,0.0,0.0,0.06,0.09195402298850575,1.0,0.5263157894736842
group_3232,0.9380530973451328,0.5,1.0,0.4461538461538462,0.16666666666666666,0.2857142857142857,0.0,0.4090909090909091,0.55,0.3390804597701149,0.88,0.9473684210526315
group_1513,0.6548672566371682,1.0,1.0,0.7846153846153846,0.25833333333333336,0.0,0.0,0.0,0.47,0.06321839080459771,0.88,0.9035087719298246
group_3145,0.672566371681416,1.0,1.0,0.9076923076923077,0.041666666666666664,0.0,0.0,0.09090909090909091,0.53,0.08620689655172414,0.96,1.0
group_3084,0.672566371681416,1.0,1.0,0.9076923076923077,0.016666666666666666,0.0,0.0,0.09090909090909091,0.49,0.08620689655172414,0.96,0.9912280701754386
group_1450,0.9203539823008849,0.5,1.0,0.823076923076923,0.30833333333333335,0.09523809523809523,0.0,0.36363636363636365,0.46,0.3333333333333333,0.16,0.5789473684210527
group_759,0.9911504424778761,1.0,1.0,1.0,0.4083333333333333,0.0,0.0,0.0,0.03,0.0,0.0,0.9824561403508771
group_3361,0.9557522123893806,1.0,1.0,0.9,0.31666666666666665,0.047619047619047616,0.0,0.0,0.06,0.05747126436781609,0.56,0.8859649122807017
group_16,0.6902654867256637,1.0,1.0,0.25384615384615383,0.058333333333333334,0.3333333333333333,0.25,0.3181818181818182,0.35,0.7126436781609196,0.0,0.8859649122807017
group_3290,0.19469026548672566,0.5,1.0,0.7384615384615385,0.23333333333333334,0.5238095238095238,0.0,0.3181818181818182,0.73,0.5804597701149425,0.56,0.7982456140350878
group_3353,0.9646017699115044,0.0,0.0,0.2846153846153846,0.0,0.047619047619047616,0.0,0.09090909090909091,0.47,0.46551724137931033,1.0,1.0
group_3131,0.8938053097345132,1.0,0.0,0.9076923076923077,0.09166666666666666,0.38095238095238093,1.0,0.22727272727272727,0.37,0.13218390804597702,0.92,0.5701754385964912
msrP~~~msrP_2~~~msrP_1,0.9469026548672567,0.5,0.0,0.9846153846153847,0.25,0.8095238095238095,0.0,0.0,0.0,0.022988505747126436,1.0,0.8070175438596491
group_2483,0.9469026548672567,0.5,0.0,0.9846153846153847,0.25,0.8095238095238095,0.0,0.0,0.0,0.011494252873563218,1.0,0.8070175438596491
phoU1,0.9557522123893806,1.0,0.0,0.9615384615384616,0.20833333333333334,0.09523809523809523,0.0,0.6363636363636364,0.21,0.011494252873563218,0.92,0.9122807017543859
group_2177,0.9380530973451328,1.0,0.0,0.7846153846153846,0.03333333333333333,0.38095238095238093,0.0,0.0,0.55,0.11494252873563218,1.0,0.7105263157894737
group_2229,0.6548672566371682,1.0,0.0,0.8153846153846154,0.25833333333333336,0.0,0.0,0.0,0.48,0.08620689655172414,0.96,0.9736842105263158
group_2371,0.672566371681416,1.0,0.0,0.9230769230769231,0.08333333333333333,0.0,0.0,0.0,0.51,0.07471264367816093,0.96,1.0
