compartment,bin_start,bin_end,count
Cloud,0.5517241379310345,0.5862068965517241,0
Cloud,0.5862068965517241,0.6206896551724138,0
Cloud,0.6206896551724138,0.6551724137931034,0
Cloud,0.6551724137931034,0.6896551724137931,0
Cloud,0.6896551724137931,0.7241379310344828,0
Cloud,0.7241379310344828,0.7586206896551724,0
Cloud,0.7586206896551724,0.7931034482758621,0
Cloud,0.7931034482758621,0.8275862068965517,0
Cloud,0.8275862068965517,0.8620689655172413,0
Cloud,0.8620689655172413,0.896551724137931,0
Cloud,0.896551724137931,0.9310344827586207,0
Cloud,0.9310344827586207,0.9655172413793103,0
Cloud,0.9655172413793103,1.0,0
